カード名,R,型番,エキスパンション,21-01-30,21-01-31,21-02-01,21-02-02,21-02-03,21-02-04,21-02-05,21-02-06,21-02-07,21-02-08,21-02-09
アーゴヨンGX,SR,052/050,SM5+,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300,300,300
アーゴヨンGX,HR,058/050,SM5+,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300,300,300
アーゴヨンGX,SSR,223/150,SM8b,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300,300,300
アーゴヨンGX,RR,034/054,SM10b,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50,50,50
アーゴヨンGX,SR,058/054,SM10b,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
アーゴヨンGX,HR,065/054,SM10b,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
アーゴヨン&アクジキングGX,SR,101/095,SM12,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
アーゴヨン&アクジキングGX,SR,102/095,SM12,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1200,1200,1200
アーゴヨン&アクジキングGX,HR,113/095,SM12,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
アーマーガア,S,288/190,s4a,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80,80,80
アーマードミュウツー,P,365/SM-P,PROMO,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800,800,500
アオガラス,S,301/190,s4a,100.0,100.0,100.0,100.0,100.0,80.0,80.0,80.0,80,80,80
アクジキングGX,SR,053/050,SM4A,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300,300,300
アクジキングGX,HR,058/050,SM4A,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900,900,900
アクジキング,S,186/150,SM8b,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100,100
アクジキングGX,SSR,232/150,SM8b,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550,550,550
アクジキング,R,046/064,SM11a,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5
アシレーヌGX,SR,054/051,SM1+,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500,500,500
アシレーヌGX,HR,061/051,SM1+,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000,2000,2000
アズマオウ,U,010/055,SM9a,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5
あったかピカチュウ,プロモーション,094/XY-P,_,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000,15000,15000
あったかピカチュウ,プロモーション,095/XY-P,_,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000,15000,15000
あったかピカチュウ,プロモーション,096/XY-P,_,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000,15000,15000
あったかピカチュウ,プロモーション,097/XY-P,_,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000,15000,15000
アップリュー,S,212/190,s4a,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100,100
アマージョGX,P,065/SM-P,PROMO,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500,500,500
アルセウス&ディアルガ&パルキアGX,RR,065/095,SM12,850.0,850.0,850.0,900.0,900.0,850.0,850.0,800.0,850,850,850
アルセウス&ディアルガ&パルキアGX,SR,099/095,SM12,2199.0,2100.0,2100.0,2100.0,2100.0,2100.0,1850.0,1850.0,1850,1850,1850
アルセウス&ディアルガ&パルキアGX,SR,100/095,SM12,9500.0,9500.0,10000.0,10000.0,10000.0,12000.0,14000.0,14000.0,16000,16000,17500
アルセウス&ディアルガ&パルキアGX,HR,112/095,SM12,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2500,2500,2500
アルセウス＆ディアルガ＆パルキアGX,P,166/S-P,PROMO,850.0,850.0,850.0,900.0,900.0,850.0,850.0,800.0,800,800,800
アルセウス◆,PR,037/050,SM5+,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10,10,10
アローラキュウコンGX,RR,013/050,SM2K,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,50,50,50
アローラキュウコンGX,SR,052/050,SM2K,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1000,1000,1000
アローラキュウコンGX,HR,057/050,SM2K,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1800,1800,1800
アローラキュウコンGX,SR,053/050,SM7b,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450,450,450
アローラキュウコンGX,HR,059/050,SM7b,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1800,1800,1800
アローラキュウコンGX,SSR,213/150,SM8b,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,1000,1000,1000
アローラキュウコン,R,056/095,SM12,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10,10,10
アローラゴローニャGX,SR,051/050,SM4S,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300,300,300
アローラゴローニャGX,HR,056/050,SM4S,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300,300,300
アローラサンドパンGX,P,384/SM-P,PROMO,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500,500,500
アローラナッシーGX,SR,054/050,SM4A,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300,300,300
アローラナッシーGX,HR,059/050,SM4A,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300,300,300
アローラニャース,P,255/SM-P,PROMO,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10,10,10
アローラニャース,C,056/095,SM8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5
アローラベトベトンGX,SR,054/051,SM3H,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300,300,300
アローラベトベトンGX,HR,060/051,SM3H,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300,300,300
アローラペルシアンGX,RR,040/064,SM11a,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30,30
アローラペルシアンGX,SR,071/064,SM11a,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
アローラペルシアンGX,HR,077/064,SM11a,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
アローラロコン,S,168/150,SM8b,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700,700,700
イースターのピカチュウ,P,055/SM-P,PROMO,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000,8000,8000
ポンチョを着たイーブイ,P,137/SM-P,PROMO,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500,6500,6500
ポンチョを着たイーブイ,P,138/SM-P,PROMO,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500,6500,6500
ポンチョを着たイーブイ,P,139/SM-P,PROMO,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500,6500,6500
ポンチョを着たイーブイ,P,140/SM-P,PROMO,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500,6500,6500
ポンチョを着たイーブイ,P,141/SM-P,PROMO,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500,6500,6500
ポンチョを着たイーブイ,P,142/SM-P,PROMO,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500,6500,6500
ポンチョを着たイーブイ,P,143/SM-P,PROMO,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500,6500,6500
ポンチョを着たイーブイ,P,144/SM-P,PROMO,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500,6500,6500
イーブイ,S,201/150,SM8b,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200,1200,1200
イーブイ,P,287/SM-P,PROMO,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000,8000,8000
イーブイGX,_,017/038,SMI,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30,30
イーブイGX,_,018/038,SMI,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30,30
イーブイGX,_,019/038,SMI,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30,30
イーブイ,P,247/SM-P,PROMO,100.0,100.0,100.0,100.0,2500.0,2500.0,2500.0,2500.0,2500,2500,2500
イーブイGX,SR,187/173,SM12a,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,1000,1000,1400
イーブイGX,SR,188/173,SM12a,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1800,1800,2350
イーブイGX,HR,219/173,SM12a,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,3500.0,3500.0,3500,3500,4000
イーブイ,P,075/S-P,PROMO,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150,150,150
イーブイV,_,075/127,SD,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30,30
イーブイ,P,100/S-P,PROMO,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30,30
イーブイVMAX,P,101/S-P,PROMO,3400.0,3400.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3500,3500,4500
未開封ポンチョを着たイーブイ,P,137/SM-P,PROMO,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,10000.0,10000.0,10000,10000,10000
未開封ポンチョを着たイーブイ,P,138/SM-P,PROMO,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,10000.0,10000.0,10000,10000,10000
未開封ポンチョを着たイーブイ,P,139/SM-P,PROMO,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,10000.0,10000.0,10000,10000,10000
未開封ポンチョを着たイーブイ,P,140/SM-P,PROMO,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,10000.0,10000.0,10000,10000,10000
未開封ポンチョを着たイーブイ,P,141/SM-P,PROMO,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,10000.0,10000.0,10000,10000,10000
未開封ポンチョを着たイーブイ,P,142/SM-P,PROMO,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,10000.0,10000.0,10000,10000,10000
未開封ポンチョを着たイーブイ,P,143/SM-P,PROMO,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,10000.0,10000.0,10000,10000,10000
未開封ポンチョを着たイーブイ,P,144/SM-P,PROMO,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,10000.0,10000.0,10000,10000,10000
イーブイ＆カビゴンGX,SR,106/095,SM9,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
イーブイ＆カビゴンGX,HR,115/095,SM9,800.0,800.0,800.0,900.0,900.0,900.0,900.0,900.0,900,900,900
イーブイ＆カビゴンGX,P,297/SM-P,_,650.0,650.0,650.0,650.0,650.0,800.0,800.0,800.0,800,800,800
イエッサンV,RR,025/060,S1H,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30,30
イエッサンV,SR,063/060,S1H,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
イエッサンV,P,059/S-P,PROMO,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000,30000,30000
イエッサンV,RR,084/190,s4a,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30,30
イエッサン,S,258/190,s4a,80.0,80.0,80.0,80.0,80.0,50.0,50.0,50.0,50,50,50
イエッサンV,SSR,316/190,s4a,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
イオルブV,RR,008/100,s4,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30,30
イオルブVMAX,RRR,009/100,s4,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30,30
