カード名,仕様,R,型番,タイプ,21-01-25,21-01-26,21-01-27
フシギバナ＆ツタージャGX,SA,SR,066/064,草,"1,200","1,300","1,300"
モクロー＆アローラナッシーGX,SA,SR,056/054,草,"3,500","3,500","3,500"
フェローチェ＆マッシブーンGX,SA,SR,056/054,草,"1,100","1,100","1,100"
セレビィ＆フシギバナGX,SA,SR,097/095,草,"1,300","1,300","1,400"
リザードン＆テールナーGX,SA,SR,068/064,炎,"3,800","3,800","5,500"
レシラム＆リザードンGX,SA,SR,097/095,炎,"12,000","12,000","12,000"
カメックス＆ポッチャマGX,SA,SR,070/064,水,"1,600","1,600","2,000"
コイキング＆ホエルオーGX,SA,SR,099/095,水,"1,400","1,500","1,500"
ヤドン＆コダックGX,SA,SR,096/094,水,"1,400","1,400","1,400"
ピカチュウ＆ゼクロムGX,SA,SR,101/095,雷,"10,000","10,000","10,000"
ライチュウ＆アローラライチュウGX,SA,SR,057/054,雷,"3,600","3,600","3,600"
ベトベトン＆アローラベトベトンGX,SA,SR,099/095,超,600,600,600
ゲンガー＆ミミッキュGX,SA,SR,103/095,超,"4,000","4,500","5,000"
ミュウツー＆ミュウGX,SA,SR,098/094,超,"7,000","7,000","7,500"
ソルガレオ＆ルナアーラGX,SA,SR,063/049,超,"2,600","2,600","2,600"
ソルガレオ＆ルナアーラGX,SA,HR,070/049,超,"2,200","2,200","2,200"
アーゴヨン＆アクジキングGX,SA,SR,102/095,竜,"1,100","1,100","1,100"
マーシャドー＆カイリキーGX,SA,SR,101/095,闘,"1,200","1,200","1,200"
オーロット＆ヨノワールGX,SA,SR,179/173,超,"1,100","1,300","1,300"
ルカリオ＆メルメタルGX,SA,SR,059/054,鋼,"2,500","2,800","2,800"
メガヤミラミ＆バンギラスGX,SA,SR,102/094,悪,"1,500","1,500","1,500"
ゲッコウガ＆ゾロアークGX,SA,SR,059/055,悪,"1,800","2,000","2,000"
サーナイト＆ニンフィアGX,SA,SR,061/055,妖,"5,500","7,500","7,500"
トゲピー＆ピィ＆ププリンGX,SA,SR,186/173,妖,"1,300","1,500","1,500"
ラティアス＆ラティオスGX,SA,SR,105/095,竜,"9,500","9,500","9,500"
ガブリアス＆ギラティナGX,SA,SR,060/054,竜,"2,400","2,400","2,600"
アルセウス＆ディアルガ＆パルキアGX,SA,SR,100/095,竜,"9,000","9,000","9,000"
レシラム＆ゼクロムGX,SA,SR,064/049,竜,"1,800","1,700","1,700"
レシラム＆ゼクロムGX,SA,HR,071/049,竜,"1,600","1,500","1,500"
ファイヤー＆サンダー＆フリーザーGX,SA,SR,060/054,無,"6,000","6,000","7,500"
イーブイ＆カビゴンGX,SA,P,297/SM-P,無,600,600,600
エーフィ＆デオキシスGX,SA,SR,177/173,超,"1,700","3,000","3,000"
ブラッキー＆ダークライGX,SA,SR,182/173,悪,"6,000","7,000","7,000"
メガミミロップ＆プリンGX,SA,SR,104/095,無,"1,000","1,000","1,000"
ラフレシアGX,SA,SR,062/049,草,"1,000","1,000","1,000"
ラフレシアGX,SA,HR,069/049,草,700,700,700
シルヴァディGX,SA,SR,065/049,無,700,700,700
シルヴァディGX,SA,HR,072/049,無,600,600,600
ムゲンダイナV,,UR,327/190,悪,"1,800","2,000","2,000"
ムゲンダイナVMAX,,UR,328/190,悪,"2,000","2,000","2,000"
ザシアンV,,UR,329/190,鋼,"3,700","3,500","3,500"
ザマゼンタV,,UR,330/190,鋼,"1,500","1,700","1,700"
レシラム＆リザードンGX,,UR,220/173,炎,"20,000","25,000","25,000"
ピカチュウ＆ゼクロムGX,,UR,221/173,雷,"11,000","14,000","16,000"
ミュウツー＆ミュウGX,,UR,222/173,超,"9,500","13,000","13,000"
ルナアーラGX,,UR,248/150,超,"2,000","2,000","2,000"
ソルガレオGX,,UR,249/150,鋼,"1,800","1,800","1,800"
ソルガレオGX,,UR,125/114,鋼,"2,500","2,500","2,500"
ウルトラネクロズマGX,,UR,250/150,竜,"1,500","1,500","1,500"
ルカリオ＆メルメタルGX,,UR,224/173,鋼,"2,500","3,000","3,000"
ゲッコウガ＆ゾロアークGX,,UR,223/173,悪,"2,500","3,000","3,000"
ガブリアス＆ギラティナGX,,UR,225/173,竜,"2,500","3,000","3,000"
ファイヤー＆サンダー＆フリーザーGX,,UR,226/173,無,"3,800","5,000","5,500"
カプ・ブルルGX,,UR,244/150,草,"1,000","1,000","1,000"
カプ・レヒレGX,,UR,245/150,水,"1,200","1,200","1,200"
カプ・コケコGX,,UR,246/150,雷,"1,000","1,000","1,000"
カプ・テテフGX,,UR,247/150,超,"1,500","1,500","1,500"
ゴリランダーV,,SSR,304/190,草,150,150,150
ゴリランダーVMAX,,SSR,305/190,草,250,250,250
ワタシラガV,,SSR,306/190,草,300,300,300
リザードンV,,SSR,307/190,炎,"11,000","11,000","11,000"
リザードンVMAX,,SSR,308/190,炎,"21,000","21,000","21,000"
マルヤクデV,,SSR,309/190,炎,200,200,200
マルヤクデVMAX,,SSR,310/190,炎,250,250,250
ラプラスV,,SSR,311/190,水,400,400,400
ラプラスVMAX,,SSR,312/190,水,700,700,700
パルスワンV,,SSR,313/190,雷,150,150,150
ストリンダーV,,SSR,314/190,雷,150,150,150
ストリンダーVMAX,,SSR,315/190,雷,250,250,250
イエッサンV,,SSR,316/190,超,150,150,150
ドラパルトV,,SSR,317/190,超,400,400,400
ドラパルトVMAX,,SSR,318/190,超,400,400,400
タイレーツV,,SSR,319/190,闘,150,150,150
クロバットV,SSR仕様,P,152/S-P,悪,"1,100","1,100","1,100"
クロバットV,SSR仕様/未開封,P,152/S-P,悪,"1,200","1,200","1,200"
